Node Failure (%),Message Overhead,Algorithms
40.0,691.0,RAFT
40.0,571.0,Plebi 0.3 prob topology
40.0,177.0,Plebi 0.5 prob topology
40.0,838.0,Plebi 0.7 prob topology
40.0,1231.0,Plebi 0.9 prob topology
40.0,810.0,RAFT
40.0,10.0,Plebi 0.3 prob topology
40.0,614.0,Plebi 0.5 prob topology
40.0,284.0,Plebi 0.7 prob topology
40.0,1849.0,Plebi 0.9 prob topology
40.0,721.0,RAFT
40.0,227.0,Plebi 0.3 prob topology
40.0,342.0,Plebi 0.5 prob topology
40.0,711.0,Plebi 0.7 prob topology
40.0,1470.0,Plebi 0.9 prob topology
40.0,722.0,RAFT
40.0,206.0,Plebi 0.3 prob topology
40.0,294.0,Plebi 0.5 prob topology
40.0,438.0,Plebi 0.7 prob topology
40.0,1452.0,Plebi 0.9 prob topology
40.0,682.0,RAFT
40.0,93.0,Plebi 0.3 prob topology
40.0,443.0,Plebi 0.5 prob topology
40.0,431.0,Plebi 0.7 prob topology
40.0,986.0,Plebi 0.9 prob topology
40.0,838.0,RAFT
40.0,83.0,Plebi 0.3 prob topology
40.0,122.0,Plebi 0.5 prob topology
40.0,497.0,Plebi 0.7 prob topology
40.0,1532.0,Plebi 0.9 prob topology
40.0,570.0,RAFT
40.0,58.0,Plebi 0.3 prob topology
40.0,467.0,Plebi 0.5 prob topology
40.0,1192.0,Plebi 0.7 prob topology
40.0,1929.0,Plebi 0.9 prob topology
40.0,596.0,RAFT
40.0,93.0,Plebi 0.3 prob topology
40.0,49.0,Plebi 0.5 prob topology
40.0,803.0,Plebi 0.7 prob topology
40.0,1142.0,Plebi 0.9 prob topology
40.0,750.0,RAFT
40.0,208.0,Plebi 0.3 prob topology
40.0,70.0,Plebi 0.5 prob topology
40.0,916.0,Plebi 0.7 prob topology
40.0,1211.0,Plebi 0.9 prob topology
40.0,718.0,RAFT
40.0,93.0,Plebi 0.3 prob topology
40.0,342.0,Plebi 0.5 prob topology
40.0,1517.0,Plebi 0.7 prob topology
40.0,947.0,Plebi 0.9 prob topology
40.0,814.0,RAFT
40.0,10.0,Plebi 0.3 prob topology
40.0,49.0,Plebi 0.5 prob topology
40.0,1549.0,Plebi 0.7 prob topology
40.0,1408.0,Plebi 0.9 prob topology
40.0,619.0,RAFT
40.0,10.0,Plebi 0.3 prob topology
40.0,525.0,Plebi 0.5 prob topology
40.0,391.0,Plebi 0.7 prob topology
40.0,1270.0,Plebi 0.9 prob topology
40.0,628.0,RAFT
40.0,10.0,Plebi 0.3 prob topology
40.0,248.0,Plebi 0.5 prob topology
40.0,804.0,Plebi 0.7 prob topology
40.0,1292.0,Plebi 0.9 prob topology
40.0,790.0,RAFT
40.0,54.0,Plebi 0.3 prob topology
40.0,366.0,Plebi 0.5 prob topology
40.0,1487.0,Plebi 0.7 prob topology
40.0,816.0,Plebi 0.9 prob topology
40.0,704.0,RAFT
40.0,10.0,Plebi 0.3 prob topology
40.0,402.0,Plebi 0.5 prob topology
40.0,1114.0,Plebi 0.7 prob topology
40.0,1257.0,Plebi 0.9 prob topology
40.0,662.0,RAFT
